iter	RMSE
0	0.09970579967
1	0.09051483247
2	0.08205799091
3	0.07442164602
4	0.06758343129
5	0.06124795944
6	0.05553393269
7	0.05054815864
8	0.04591929105
9	0.04184940654
10	0.03809190998
11	0.03468986878
12	0.03171790307
13	0.0289053544
14	0.02632947761
15	0.02399784185
16	0.02195937259
17	0.02006645377
18	0.01838279275
19	0.01686904633
20	0.01547679582
21	0.01420334181
22	0.0131190648
23	0.01208785517
24	0.01117725527
25	0.01035603099
26	0.009642860777
27	0.009007147904
28	0.008448106023
29	0.007982148383
30	0.007551864583
31	0.007176362347
32	0.006846080918
33	0.006552161768
34	0.006282476988
35	0.006074346311
36	0.005889398983
37	0.00571983667
38	0.005576232395
39	0.005429380354
40	0.005318391314
41	0.00521516948
42	0.005130699532
43	0.005061825209
44	0.005003185712
45	0.004928570809
46	0.004878864283
47	0.004836700022
48	0.004786439504
49	0.004749166841
50	0.004709270477
51	0.004680129477
52	0.004639799584
53	0.004606720106
54	0.004581294842
55	0.004555493462
56	0.004538525456
57	0.004520700123
58	0.004495287382
59	0.004480816371
60	0.004456210709
61	0.004435425599
62	0.00441684458
63	0.004401449727
64	0.004381114358
65	0.004362939271
66	0.004355906631
67	0.004339072401
68	0.004323916342
69	0.004304029611
70	0.004292561412
71	0.004279626779
72	0.004268799336
73	0.004245795383
74	0.004229484065
75	0.004215338494
76	0.004202892087
77	0.004193014307
78	0.004177883917
79	0.004167439554
80	0.004157065387
81	0.004145563363
82	0.004133113069
83	0.004125846653
84	0.004112998181
85	0.004102977164
86	0.004094031726
87	0.00407915977
88	0.00406853396
89	0.004058887434
90	0.004050912874
91	0.004040315375
92	0.004030736787
93	0.004022558639
94	0.004005731437
95	0.004000037585
96	0.003992499681
97	0.003985582575
98	0.003971695284
99	0.003962899084
100	0.00395697817
101	0.003943328512
102	0.003933851188
103	0.00392207399
104	0.003912397912
105	0.003906088857
106	0.003902716678
107	0.003892207263
108	0.003885362495
109	0.003873981993
110	0.003869506395
111	0.003861137513
112	0.003855878057
113	0.003844130071
114	0.003837544348
115	0.00383495339
116	0.003826394786
117	0.003815811994
118	0.003807924888
119	0.003800712617
120	0.003791397597
121	0.003785254752
122	0.003780749403
123	0.003768413585
124	0.003761080934
125	0.003757144793
126	0.003748703515
127	0.003742567654
128	0.003735902352
129	0.003727645687
130	0.003718305533
131	0.003712236668
132	0.003704641759
133	0.003691488767
134	0.003682416233
135	0.003676738838
136	0.003666066397
137	0.003659465944
138	0.003654093706
139	0.003642641011
140	0.003638948168
141	0.003630877119
142	0.003628509882
143	0.003626031618
144	0.003613812346
145	0.003603832108
146	0.003597234631
147	0.003588147242
148	0.003579204872
149	0.003573012108
150	0.003558958601
151	0.003552922067
152	0.00354596975
153	0.003542203627
154	0.003536656607
155	0.003531919123
156	0.003525448086
157	0.003522245148
158	0.003518958747
159	0.003515131735
160	0.003507273046
161	0.003499910713
162	0.003494092274
163	0.003489256765
164	0.00348450013
165	0.003482924614
166	0.003479192805
167	0.003464854025
168	0.003460915914
169	0.003456894581
170	0.003451532607
171	0.003449907187
172	0.003445955219
173	0.003437689488
174	0.003428965445
175	0.003420296599
176	0.003414701781
177	0.00340974598
178	0.003407721155
179	0.003404238423
180	0.003395169935
181	0.003389342173
182	0.003384841199
183	0.003380605122
184	0.003377655233
185	0.003370121825
186	0.003361906529
187	0.003358308625
188	0.003354889797
189	0.003349075464
190	0.003344977829
191	0.003341890917
192	0.003335781602
193	0.003329497659
194	0.003328074059
195	0.003324015992
196	0.003320730057
197	0.003314990137
198	0.003310411484
199	0.003304894619
200	0.003303182142
201	0.003296755806
202	0.003285789854
203	0.003275351932
204	0.003270099825
205	0.003267216185
206	0.003260263157
207	0.003255170814
208	0.003248982366
209	0.00324373725
210	0.003239706437
211	0.003233311481
212	0.003227791901
213	0.003225644664
214	0.003221324933
215	0.00321909723
216	0.003213871075
217	0.003212332285
218	0.003206635806
219	0.003201476908
220	0.003195651721
221	0.003192362229
222	0.003183165287
223	0.003178300246
224	0.003175773203
225	0.003171547487
226	0.003167154378
227	0.003165939288
228	0.003162774111
229	0.003159637406
230	0.003156704405
231	0.003154231411
232	0.003148741995
233	0.00314647601
234	0.00314168643
235	0.003137394093
236	0.003127825619
237	0.003126915524
238	0.003122794103
239	0.003120675611
240	0.003115761694
241	0.003111680562
242	0.003110858355
243	0.003105465751
244	0.003100586204
